Word,Frequency
business,12
data,11
solutions,7
science,6
analytics,6
work,5
experience,5
teams,5
lead,5
complex,4
industry,4
clients,4
drive,4
consulting,4
ability,4
leadership,3
significant,3
expertise,3
environment,3
team,3
