Word,Frequency
proyectos,8
inteligencia,5
experiencia,5
trabajar,4
artificial,4
capacidad,3
despliegue,3
entornos,3
mundo,3
servicios,2
arquitecturas,2
desarrollo,2
sector,2
crear,2
carrera,2
nacional,2
productos,2
puesto,2
incluyendo,2
personas,2
